route_id,trip_id,trip_headsign,direction_id
C,052450_C..N04R,168 St,0
C,053200_C..S04R,Euclid Av,1
C,053550_C..N04R,168 St,0
C,054100_C..S04R,Euclid Av,1
C,054450_C..N04R,168 St,0
C,054900_C..S04R,Euclid Av,1
C,055350_C..N04R,168 St,0
C,055700_C..S04R,Euclid Av,1
C,056300_C..N04R,168 St,0
C,056600_C..S04R,Euclid Av,1
C,057250_C..N04R,168 St,0
C,057400_C..S04R,Euclid Av,1
C,058000_C..S04R,Euclid Av,1
C,058250_C..N04R,168 St,0
C,058950_C..S04R,Euclid Av,1
C,059250_C..N04R,168 St,0
C,060250_C..N04R,168 St,0
C,061250_C..N04R,168 St,0
C,061400_C..S04R,Euclid Av,1
C,062050_C..N04R,168 St,0
C,062850_C..N04R,168 St,0
C,063650_C..N04R,168 St,0
C,063800_C..S04R,Euclid Av,1
C,064450_C..N04R,168 St,0
C,064600_C..S04R,Euclid Av,1
C,065250_C..N04R,168 St,0
C,066000_C..S04R,Euclid Av,1
C,066850_C..N04R,168 St,0
C,067000_C..S04R,Euclid Av,1
C,067650_C..N04R,168 St,0
C,068450_C..N04R,168 St,0
C,068600_C..S04R,Euclid Av,1
C,069250_C..N04R,168 St,0
C,069400_C..S04R,Euclid Av,1
C,070000_C..S04R,Euclid Av,1
C,070050_C..N04R,168 St,0
C,070850_C..S04R,Euclid Av,1
C,071650_C..N04R,168 St,0
C,071700_C..S04R,Euclid Av,1
C,072450_C..N04R,168 St,0
C,073250_C..N04R,168 St,0
C,073400_C..S04R,Euclid Av,1
C,074050_C..N04R,168 St,0
C,074250_C..S04R,Euclid Av,1
C,074850_C..N04R,168 St,0
C,075800_C..S04R,Euclid Av,1
C,076450_C..N04R,168 St,0
C,076600_C..S04R,Euclid Av,1
C,077250_C..N04R,168 St,0
C,078000_C..S04R,Euclid Av,1
C,078050_C..N04R,168 St,0
